species_name,common_name,vocal_learning_status_Wirthlin2024,vocal_learner_binary,group_living,brain_mass_g,adult_body_mass_g,brain_body_ratio,longevity,gestation_days,birth_weight_g,HAQER_matching_bases,HAQER_alignment_base_length,HAQER_sequence_similarity,HAR_matching_bases,HAR_alignment_base_length,HAR_sequence_similarity,HAQER_sequence_similarity_scaled,HAR_sequence_similarity_scaled,neonate_body_mass_g_PanTHERIA,adult_body_mass_g_PanTHERIA,obstetric_risk
Moschus_moschiferus,Siberian musk deer,non_vocal_learner,0,0,NA,NA,NA,12,162,478.57,146108,305188,47.87475261150504,521149,604177,86.25766952399711,0.4417984728040621,0.5800489649284932,498.39,13315.57,0.5069897957257337
Tragulus_javanicus,Java lesser chevrotain,non_vocal_learner,0,0,15.8,2037,0.3622424710279754,12,144,370,139232,297693,46.77033050827531,515742,603918,85.39934229481486,0.1850270804873114,0.283236428976605,NA,NA,NA
Sus_scrofa,Pig,non_vocal_learner,0,1,169.8,86772.73,0.4515521716223426,27,115,995,142391,298688,47.672152881937,493374,570449,86.48871327673464,0.394695273318964,0.6599446968059536,807.77,84471.54,0.22495993326649
Catagonus_wagneri,Chacoan peccary,non_vocal_learner,0,1,NA,NA,NA,14,152,623.6,149768,314647,47.59873763296646,521476,604812,86.22117286032685,0.37762667641174913,0.5674282919153878,600.2,35566.4,0.314784150539458
Camelus_bactrianus,Bactrian camel,non_vocal_learner,0,1,575,400000,0.4926166176302325,50,395,35500,161093,325406,49.50523346219799,524641,607164,86.4084497763372,0.8208753103229005,0.6321892996947198,34346.64,554515.91,1.1051252808397587
Camelus_dromedarius,Arabian camel,non_vocal_learner,0,NA,762,400000,0.514445574628064,50,405,36875.595,161353,326156,49.471111983222755,525414,607693,86.46043314634198,0.8129422749021525,0.6501653295279374,36751.19,492714.47,1.1592876703789468
Camelus_ferus,Wild bactrian camel,non_vocal_learner,0,NA,NA,NA,NA,NA,NA,NA,159571,323522,49.323075401363745,524764,605936,86.60386575479919,0.7785246739445195,0.6997648235285375,NA,NA,NA
Vicugna_pacos,Alpaca,non_vocal_learner,0,NA,NA,NA,NA,25.8,345,NA,163200,328987,49.60682336992039,526693,607600,86.6841672152732,0.8444943432768114,0.7275333473660505,NA,NA,NA
Eubalaena_japonica,North pacific right whale,high_confidence_vocal_learner,1,0,NA,NA,NA,NA,NA,797164,171560,333889,51.38234562983507,534447,610557,87.53433340376084,1.2572924224119988,1.021523767110716,NA,NA,NA
Balaenoptera_bonaerensis,Antarctic minke whale,suspected_vocal_learner,1,NA,NA,NA,NA,73,330,320000,165656,323507,51.2063108371689,532565,610009,87.30444960648121,1.2163654084769278,0.94202915185795,NA,NA,NA
